bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher
28898,Fundamentals of Heat and Mass Transfer [with IHT/FEHT 3.0 CD with User Guide Set],Frank P. Incropera/David P. DeWitt,4.05539473090542,0470055545,9780470055540,en-US,997,6,0,10/30/2006,Wiley
39358,Stud Rites (A Dog Lover's Mystery #9),Susan Conant,3.9119707959117296,0425201597,9780425201596,eng,237,322,16,3/1/2005,Berkley Prime Crime Books
32695,El talismán,Stephen King/Peter Straub/Pilar Giralt Gorina,4.03658240482407,8408042432,9788408042433,spa,375,12,1,7/1/2003,Planeta Publishing
15096,Five Quarters of the Orange,Joanne Harris,3.9085071182926625,0060958022,9780060958022,eng,307,26258,1936,6/4/2002,Harper Perennial
15428,Up in a Heaval (Xanth #26),Piers Anthony,3.937547872943303,0812574990,9780812574999,eng,342,2364,25,10/19/2003,Tor Fantasy
37722,In Search of Dracula: The History of Dracula and Vampires,Raymond T. McNally/Radu Florescu,3.9294590876083673,0395657830,9780395657836,eng,320,1257,76,10/31/1994,Mariner Books
11854,Puzzle Pack: The Witch of Blackbird Pond,Mary B. Collins,3.9172365603795707,1583377824,9781583377826,eng,134,2,0,8/15/2005,Teacher's Pet Publications  Inc.
5319,A Christmas Story,Jean Shepherd,3.884347262334984,0767916220,9780767916226,eng,144,3187,381,10/28/2003,Broadway Books
7811,A Friend of the Earth,T. Coraghessan Boyle,3.9212188763428704,0747553467,9780747553465,eng,275,30,3,10/8/2001,Bloomsbury Paperbacks
3921,London is the Best City in America,Laura Dave,3.9374379734165696,0670037567,9780670037568,eng,256,2168,233,5/18/2006,Viking Adult
35875,Ghost in the Shell,Masamune Shirow,3.957678820705405,1845760182,9781845760182,en-GB,368,61,3,2/25/2005,Titan
23201,Pilgrims and Other Stories,Elizabeth Gilbert,3.932144738170976,0330351745,9780330351744,eng,288,1411,182,4/9/1998,Picador
41675,The Theban Plays: Oedipus Rex  Oedipus at Colonus & Antigone,Sophocles/George      Young,3.8905996470987936,048645049X,9780486450490,eng,176,182,14,6/23/2006,Dover Publications
38426,The Actor in You: Sixteen Simple Steps to Understanding the Art of Acting,Robert Benedetti,3.8954581921519202,0205359213,9780205359219,en-US,131,11,0,3/4/2002,Allyn & Bacon
