bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher
8253,Little Town on the Prairie  (Little House  #7),Laura Ingalls Wilder/Garth Williams,4.19,0060885432,9780060885434,eng,374,71853,646,1/1/2007,HarperTrophy
11101,First Comes Love (Hot Water  California #1),Christie Ridgway,3.81,0380818957,9780380818952,en-US,384,1051,47,1/1/2002,Avon Books
28193,When Santa Fell to Earth,Cornelia Funke/Paul   Howard/Oliver G. Latsch,3.76,043978204X,9780439782043,eng,167,1840,245,10/1/2006,Chicken House / Scholastic
25047,The Case of the Stinky Science Project (Jigsaw Jones  #9),James Preller/John Speirs/James Preller,3.83,0439114284,9780439114288,en-US,80,162,11,3/1/2001,Scholastic Paperbacks
17800,Dance Dance Dance,Haruki Murakami,4.04,0099448769,9780099448761,eng,393,50169,2117,2/7/2002,Vintage
23601,The J.R.R. Tolkien Companion and Guide  Volume 2: Reader's Guide,Wayne G. Hammond/Wayne G. Hammond,4.46,0618391010,9780618391011,eng,1262,31,2,11/2/2006,Houghton Mifflin Harcourt
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,0871202867,9780871202864,en-US,108,77,2,1/28/1997,Association for Supervision & Curriculum Development
39501,The Burglar Who Thought He Was Bogart (Bernie Rhodenbarr  #7),Lawrence Block,3.89,0060872799,9780060872793,en-US,400,2134,99,10/31/2006,HarperTorch
37387,The Prime of Miss Jean Brodie / The Girls of Slender Means / The Driver's Seat / The Only Problem,Muriel Spark,3.79,1857152743,9781857152746,eng,512,1477,90,5/6/2004,Random House
32715,Desperation / The Regulators: Box Set,Stephen King/Richard Bachman,4.07,067077605X,9780670776054,eng,1075,3231,72,10/1/1996,Viking Adult
2067,Breaking the Spell: Religion as a Natural Phenomenon,Daniel C. Dennett,3.89,067003472X,9780670034727,eng,448,10135,330,2/24/2006,Viking Books
30380,Prime Time,Rachel Ryan/Sandra Brown,3.58,0446364290,9780446364294,eng,256,2005,60,9/1/1995,Grand Central Publishing
5027,I Love Saturdays y domingos,Alma Flor Ada/Elivia Savadier,4.05,068987409X,9780689874093,en-US,32,34,10,9/1/2004,Atheneum Books for Young Readers
19313,Christmas in Noisy Village,Astrid Lindgren/Ilon Wikland/Florence Lamborn,4.18,0140503447,9780140503449,en-US,32,830,41,10/29/1981,Puffin Books
4075,In Search of Memory: The Emergence of a New Science of Mind,Eric R. Kandel,4.1,0393058638,9780393058635,eng,430,3958,172,2/1/2006,W. W. Norton & Company
11890,The Wapshot Chronicle,John Cheever/Rick Moody,3.76,0060528877,9780060528874,eng,352,6152,257,6/3/2003,Harper Perennial Modern Classics
11616,The Gardens of Emily Dickinson,Judith Farr/Louise Carter,3.84,067401829X,9780674018297,eng,350,54,13,10/1/2005,Harvard University Press
1305,Gates of Fire,Steven Pressfield,4.42,055338368X,9780553383683,eng,392,21934,1629,9/27/2005,Bantam
4888,The Drama of the Gifted Child: The Search for the True Self,Alice   Miller,4.09,046501691X,9780465016914,en-US,118,97,10,6/1/1983,Basic Books
12071,Buenos Presagios: las buenas y ajustadas profecías de Agnes La Chalada,Terry Pratchett/Neil Gaiman,4.25,159497098X,9781594970986,spa,318,104,14,4/25/2005,Norma Editorial
6903,My Sister's Keeper,Mavis Applewater,3.86,097441218X,9780974412184,eng,252,89,2,3/9/2004,Limitless Corporation
11371,It Can't Happen Here,Sinclair Lewis/Michael R.  Meyer,3.77,045121658X,9780451216588,eng,400,9031,1555,10/4/2005,NAL Trade
43230,The English Novel: An Introduction,Terry Eagleton,3.77,1405117079,9781405117074,eng,376,101,10,8/6/2004,Wiley-Blackwell
21626,Not of Woman Born,Constance Ash/Nina Kiriki Hoffman/Patricia A. McKillip/Walter Jon Williams/Debra Doyle/James D. Macdonald/Kara Dalkey/Michael Armstrong/Richard Parks/Sage Walker/Susan Palwick/William F. Wu/Jack McDevitt/Janni Lee Simner/Robert Silverberg,3.82,0451456815,9780451456816,eng,288,60,11,3/1/1999,Roc
